ts,latency_s,decode_tps,ntok,prefill_tps
1786376120.1,3.71,26.50,97,354.9
1786376125.0,4.89,26.44,128,353.7
1786376129.9,4.89,26.45,128,354.7
1786376134.7,4.89,26.44,128,355.1
1786376139.3,4.59,26.45,120,355.2
1786376144.2,4.89,26.44,128,354.8
1786376148.6,4.36,26.46,114,355.1
1786376153.5,4.89,26.45,128,354.6
1786376158.4,4.89,26.44,128,354.6
1786376163.3,4.89,26.45,128,354.2
1786376168.1,4.89,26.44,128,354.8
1786376173.0,4.89,26.44,128,354.5
1786376177.9,4.89,26.44,128,354.8
1786376182.8,4.89,26.44,128,354.5
1786376187.7,4.90,26.43,128,355.2
1786376192.6,4.89,26.44,128,354.9
1786376197.5,4.89,26.44,128,355.1
1786376202.4,4.89,26.45,128,355.4
1786376206.9,4.55,26.45,119,353.2
1786376211.5,4.51,26.45,118,354.7
1786376216.2,4.74,26.45,124,354.6
1786376219.6,3.41,26.51,89,354.8
1786376224.0,4.44,26.45,116,354.8
1786376227.4,3.37,26.52,88,354.9
1786376232.3,4.89,26.44,128,354.9
1786376236.1,3.75,26.48,98,354.7
1786376240.9,4.89,26.45,128,355.1
1786376245.8,4.89,26.45,128,354.6
1786376250.7,4.89,26.44,128,355.4
1786376254.9,4.21,26.47,110,354.5
1786376258.9,3.98,26.48,104,354.9
1786376263.8,4.89,26.43,128,355.0
1786376268.1,4.28,26.46,112,355.2
1786376273.0,4.89,26.43,128,355.0
1786376276.4,3.41,26.50,89,354.7
1786376280.1,3.71,26.49,97,354.4
1786376285.0,4.89,26.44,128,354.9
1786376289.9,4.89,26.44,128,354.9
1786376294.0,4.13,26.48,108,355.2
1786376298.9,4.89,26.44,128,354.9
1786376303.8,4.89,26.44,128,354.6
1786376308.7,4.89,26.45,128,354.6
1786376313.6,4.85,26.44,127,354.9
1786376318.4,4.89,26.43,128,355.1
1786376323.3,4.89,26.45,128,355.2
1786376328.2,4.89,26.45,128,354.5
1786376333.1,4.89,26.45,128,355.2
1786376338.0,4.89,26.45,128,354.5
1786376342.9,4.89,26.44,128,354.5
1786376347.8,4.89,26.45,128,354.7
1786376352.7,4.89,26.45,128,354.9
1786376357.6,4.89,26.44,128,354.6
1786376362.5,4.89,26.44,128,355.1
1786376367.4,4.90,26.42,128,355.3
1786376372.3,4.89,26.44,128,354.8
1786376377.2,4.89,26.45,128,354.9
1786376382.0,4.89,26.44,128,354.3
1786376386.9,4.89,26.44,128,354.6
1786376391.8,4.89,26.45,128,355.0
1786376395.8,3.98,26.48,104,353.8
1786376399.4,3.56,26.50,93,355.4
1786376404.3,4.89,26.44,128,354.7
1786376409.2,4.89,26.44,128,354.5
1786376414.0,4.89,26.44,128,354.3
1786376418.9,4.89,26.44,128,354.9
1786376423.8,4.89,26.45,128,353.8
1786376428.3,4.48,26.45,117,354.5
1786376432.9,4.63,26.45,121,354.6
1786376437.8,4.89,26.44,128,354.6
1786376442.7,4.89,26.44,128,354.7
1786376447.6,4.89,26.45,128,354.5
1786376452.5,4.89,26.44,128,354.4
1786376456.6,4.09,26.47,107,354.8
1786376461.5,4.89,26.45,128,355.1
1786376466.4,4.89,26.45,128,355.2
1786376469.6,3.26,26.53,85,354.3
1786376474.5,4.89,26.45,128,355.1
1786376479.4,4.89,26.45,128,354.3
1786376483.4,3.98,26.48,104,354.8
1786376488.3,4.89,26.44,128,355.0
1786376492.8,4.51,26.46,118,354.7
1786376497.7,4.89,26.44,128,355.2
1786376502.6,4.89,26.45,128,354.7
1786376507.5,4.89,26.44,128,354.8
1786376512.4,4.89,26.45,128,354.6
1786376516.7,4.36,26.46,114,354.9
1786376521.3,4.55,26.46,119,355.0
1786376526.2,4.89,26.45,128,354.6
1786376531.1,4.89,26.45,128,354.8
1786376535.9,4.89,26.44,128,354.8
1786376540.7,4.78,26.45,125,355.2
1786376545.6,4.89,26.44,128,354.2
1786376550.5,4.90,26.42,128,354.7
1786376554.4,3.86,26.49,101,355.0
1786376558.7,4.36,26.47,114,354.4
1786376562.3,3.52,26.50,92,354.7
1786376566.7,4.47,26.46,117,355.6
1786376571.6,4.89,26.44,128,354.4
1786376576.5,4.90,26.43,128,354.0
1786376581.2,4.66,26.45,122,354.6
1786376586.1,4.89,26.44,128,354.5
1786376591.0,4.89,26.44,128,354.2
1786376595.9,4.89,26.45,128,354.6
1786376599.9,4.02,26.48,105,354.7
1786376603.7,3.83,26.49,100,354.8
1786376608.6,4.89,26.44,128,354.8
1786376613.5,4.89,26.44,128,355.0
1786376618.4,4.89,26.44,128,354.4
1786376623.3,4.89,26.44,128,355.0
1786376628.2,4.89,26.44,128,355.0
1786376632.1,3.90,26.48,102,354.8
1786376636.3,4.24,26.47,111,354.4
1786376641.2,4.85,26.45,127,354.4
1786376646.1,4.89,26.45,128,354.4
1786376650.1,4.02,26.49,105,354.5
1786376654.7,4.59,26.46,120,354.3
1786376659.5,4.89,26.44,128,355.2
1786376664.4,4.89,26.44,128,354.6
1786376669.3,4.89,26.44,128,354.9
1786376674.2,4.89,26.44,128,354.3
1786376679.1,4.89,26.44,128,354.2
1786376684.0,4.89,26.45,128,354.3
1786376688.9,4.89,26.44,128,354.8
1786376692.8,3.90,26.49,102,354.1
1786376697.7,4.89,26.45,128,354.8
1786376702.6,4.89,26.45,128,355.1
1786376707.5,4.89,26.45,128,354.5
1786376712.4,4.89,26.44,128,355.0
1786376717.3,4.89,26.45,128,355.5
1786376722.2,4.89,26.45,128,354.5
1786376727.0,4.89,26.45,128,355.2
1786376731.9,4.90,26.42,128,354.0
1786376736.8,4.89,26.45,128,354.8
1786376741.7,4.89,26.44,128,354.1
1786376746.6,4.89,26.44,128,354.6
1786376751.5,4.89,26.45,128,355.1
1786376756.4,4.89,26.45,128,354.7
1786376761.0,4.59,26.45,120,354.2
1786376765.9,4.89,26.45,128,354.9
1786376770.8,4.89,26.45,128,355.0
1786376775.7,4.89,26.44,128,354.9
1786376780.2,4.55,26.45,119,354.6
1786376784.5,4.28,26.47,112,355.1
1786376789.0,4.55,26.46,119,354.3
1786376793.9,4.89,26.45,128,354.5
1786376798.1,4.21,26.47,110,354.7
1786376801.6,3.48,26.51,91,355.6
1786376806.5,4.89,26.45,128,355.1
1786376811.0,4.51,26.47,118,354.7
1786376815.7,4.63,26.44,121,353.9
1786376819.3,3.67,26.50,96,355.3
