ts,latency_s,decode_tps,ntok,prefill_tps
1786433655.1,4.88,26.53,128,353.5
1786433660.0,4.88,26.53,128,352.9
1786433664.5,4.53,26.55,119,353.5
1786433669.4,4.88,26.53,128,353.2
1786433674.3,4.88,26.53,128,352.4
1786433678.6,4.35,26.54,114,352.8
1786433683.5,4.88,26.52,128,352.5
1786433688.4,4.88,26.51,128,352.9
1786433693.3,4.88,26.54,128,352.3
1786433697.6,4.35,26.55,114,353.2
1786433701.5,3.85,26.57,101,352.1
1786433706.3,4.88,26.53,128,352.6
1786433709.5,3.17,26.63,83,352.3
1786433714.4,4.88,26.52,128,353.6
1786433719.3,4.87,26.54,128,353.3
1786433723.8,4.50,26.55,118,352.9
1786433728.6,4.88,26.53,128,352.9
1786433733.0,4.35,26.55,114,353.2
1786433736.7,3.75,26.53,98,352.4
1786433741.6,4.88,26.51,128,352.9
1786433746.5,4.88,26.53,128,352.4
1786433750.8,4.35,26.54,114,352.4
1786433755.7,4.88,26.52,128,353.2
1786433760.6,4.88,26.53,128,353.5
1786433765.0,4.42,26.54,116,352.9
1786433769.9,4.88,26.53,128,352.9
1786433774.8,4.88,26.53,128,352.8
1786433779.4,4.61,26.54,121,352.7
1786433784.3,4.88,26.53,128,353.4
1786433789.0,4.72,26.54,124,353.1
1786433793.9,4.88,26.52,128,352.6
1786433798.7,4.88,26.51,128,351.8
1786433803.2,4.46,26.54,117,352.3
1786433806.5,3.28,26.60,86,352.9
1786433811.4,4.88,26.51,128,352.7
1786433816.2,4.88,26.52,128,352.0
1786433821.1,4.88,26.53,128,353.1
1786433826.0,4.88,26.53,128,352.6
1786433830.3,4.31,26.55,113,353.0
1786433835.2,4.88,26.52,128,353.4
1786433840.1,4.88,26.53,128,352.9
